Common Name,Link,Scientific Name,Classification,Order,Family,Temperament,Level,Diet,PH,GH,Temp,Size,Continent,X,Y,Z
Panda Corydoras,/species-spotlight/panda-corydoras/,CorydorasPanda,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,11.0,22.5,5.0,SA,-13.2068815,0.078556,0.18558536
Panda Garra,/species-spotlight/panda-garra/,GarraFlavatra,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom - Middle,Omnivore,6.75,7.0,24.45,9.0,AS,-6.238906,2.2128136,-1.7341282
Panda Loach,/species-spotlight/panda-loach/,Yaoshaniapachychilus,Actinopterygii,Cypriniformes,Gastromyzontidae,Peaceful,Bottom - Middle,Omnivore,7.0,15.0,21.95,6.0,AS,5.6512504,-9.103848,2.2872813
Pantanalensis Corydoras,/species-spotlight/pantanalensis-corydoras/,Corydoraspantanalensis,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom - Middle,Omnivore,6.75,6.0,26.5,8.0,SA,-11.316346,1.9408674,-3.3629515
Panther Danio,/species-spotlight/panther-danio/,Brachydanioaesculapii,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Top,Omnivore,7.5,6.5,24.15,4.5,AS,-7.1823907,5.649075,-0.8950451
Paradise Fish,/species-spotlight/paradise-fish/,MacropodusOpercularis,Actinopterygii,Anabantiformes,Osphronemidae,Semi-Aggressive,Middle - Top,Omnivore,7.0,15.5,23.9,7.0,AS,6.3795896,-8.944178,-2.1327832
Parkinsons Rainbowfish,/species-spotlight/parkinsons-rainbowfish/,Melanotaeniaparkinsoni,Actinopterygii,Atheriniformes,Melanotaeniidae,Peaceful,Middle,Omnivore,7.5,16.5,23.6,15.0,OC,1.8174473,4.289067,-1.881893
Peacock Gudgeon,/species-spotlight/peacock-gudgeon/,TateurndinaOcellicauda,Actinopterygii,Gobiiformes,Eleotridae,Peaceful,Bottom - Middle,Omnivore,6.9,8.5,24.15,7.5,OC,6.6366735,-8.826543,0.1052558
Pearl Danio,/species-spotlight/pearl-danio/,Danioalbolineatus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,7.0,12.0,20.0,6.5,AS,-4.4921927,2.986843,2.4480317
Pearl Gourami,/species-spotlight/pearl-gourami/,TrichopodusLeerii,Actinopterygii,Anabantiformes,Osphronemidae,Peaceful,Middle - Top,Omnivore,6.75,15.0,25.0,12.0,AS,5.4315658,-8.102435,-2.0275881
Penguin Tetra,/species-spotlight/penguin-tetra/,Thayeriaboehlkei,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,7.0,11.0,25.0,6.0,SA,6.823638,1.0301182,0.6481809
