Common Name,Link,Scientific Name,Classification,Order,Family,Temperament,Level,Diet,PH,GH,Temp,Size,Continent
Cardinal Tetra,/species-spotlight/cardinal-tetra/,Paracheirodonaxelrodi,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,5.5,3.0,26.0,5.0,SA
Celebes Rainbowfish,/species-spotlight/celebes-rainbowfish/,Marosatherinaladigesi,Actinopterygii,Atheriniformes,Melanotaeniidae,Peaceful,Middle,Omnivore,7.5,17.5,25.0,8.0,AS
Celestial Pearl Danio,/species-spotlight/celestial-pearl-danio/,Daniomargaritatus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,7.0,9.0,22.8,2.5,AS
Cenepa Red Pencilfish,/species-spotlight/cenepa-red-pencilfish/,Nannstomussp,Actinopterygii,Characiformes,Lebiasinidae,Peaceful,Middle - Top,Omnivore,5.5,6.5,25.85,3.5,SA
Checker Barb,/species-spotlight/checker-barb/,Oliotiusoligolepis,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom - Middle,Omnivore,6.0,5.5,21.95,5.0,SA
Checkerboard Cichlid,/species-spotlight/checkerboard-cichlid/,Dicrossusfilamentosus,Actinopterygii,Cichliformes,Cichlidae,Peaceful,Middle,Omnivore,5.5,4.5,28.6,10.0,SA
Cherry Barb,/species-spotlight/cherry-barb/,Puntiustitteya,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom - Middle,Omnivore,7.35,12.0,23.9,5.0,AS
Chilli Rasbora,/species-spotlight/chilli-rasbora/,BorarasBrigittae,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.0,5.5,25.55,2.0,AS
Chinese Barb,/species-spotlight/chinese-barb/,Barbodessemifasciolatus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom - Middle,Omnivore,7.0,5.5,20.85,7.5,AS
Chinese High Fin Banded Shark,/species-spotlight/chinese-high-fin-banded-shark/,MyxocyprinusAsiaticus,Actinopterygii,Cypriniformes,Catostomidae,Peaceful,Bottom,Omnivore,7.0,12.0,23.05,43.0,AS
Chinese Hillstream Loach,/species-spotlight/chinese-hillstream-loach/,Pseudogastromyzoncheni,Actinopterygii,Cypriniformes,Balitoridae,Peaceful,Bottom,Omnivore,7.5,10.0,21.95,6.0,AS
Chinese Neon Golden Stripe Shark,/species-spotlight/chinese-neon-golden-stripe-shark/,Sarcocheilichthysparvus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom - Middle,Omnivore,7.0,8.5,25.3,7.0,AS
Chocolate Gourami,/species-spotlight/chocolate-gourami/,Sphaerichthysosphromenoides,Actinopterygii,Anabantiformes,Osphronemidae,Semi-Aggressive,Middle - Top,Omnivore,5.0,3.25,26.95,6.0,AS
Chocolate Shrimp,/species-spotlight/chocolate-shrimp/,NeocaridinaDavidi,Malacostraca,Decapoda,Atyidae,Peaceful,All Levels,Omnivore,7.0,9.0,23.35,4.0,AS
Christys Killifish,/species-spotlight/christys-killifish/,Aphyosemionchristyi,Actinopterygii,Cyprinodontiformes,Nothobranchiidae,Peaceful,Middle - Top,Omnivore,7.0,10.0,24.15,6.0,AF
Clown Barb,/species-spotlight/clown-barb/,"Barbodeseveretti,Puntiuseveretti,Barbodesdunckeri",Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,All Levels,Omnivore,6.75,10.0,26.95,15.0,AS
Clown Killifish,/species-spotlight/clown-killifish/,Epiplatysannulatus,Actinopterygii,Cyprinodontiformes,Nothobranchiidae,Peaceful,Top,Omnivore,5.5,2.5,23.05,3.5,AF
Clown Loach,/species-spotlight/clown-loach/,Chromobotiamacracanthus,Actinopterygii,Cypriniformes,Botiidae,Peaceful,Bottom,Omnivore,6.25,8.0,25.55,15.0,AS
Clown Rasbora,/species-spotlight/clown-rasbora/,Rasborakalochroma,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,All Levels,Omnivore,6.25,6.0,25.3,10.0,AS
Cochus Blue Tetra,/species-spotlight/cochus-blue-tetra/,Boehlkeafredcochui,Actinopterygii,Characiformes,Characidae,Peaceful,All Levels,Omnivore,6.75,10.0,24.2,5.5,SA
Cockatoo Dwarf Cichlid,/species-spotlight/cockatoo-dwarf-cichlid/,Apistogrammacacatuoides,Actinopterygii,Cichliformes,Cichlidae,Peaceful,Middle,Omnivore,7.0,12.0,25.55,10.0,SA
